label_avg_price_per_room,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,market_segment_type,no_of_special_requests
2,2,0,1,0,"Not Selected",0,"Room_Type 1",1,2018,6,Online,1
2,2,0,0,3,"Not Selected",0,"Room_Type 1",122,2018,6,Online,2
2,2,0,2,3,"Meal Plan 1",0,"Room_Type 1",40,2018,6,Online,1
2,2,2,2,2,"Meal Plan 1",0,"Room_Type 2",116,2018,6,Online,1
2,3,0,2,2,"Meal Plan 1",1,"Room_Type 4",123,2018,8,Online,1
2,3,0,2,5,"Meal Plan 1",0,"Room_Type 4",40,2018,4,Online,0
1,2,1,2,5,"Meal Plan 1",0,"Room_Type 1",105,2018,11,Online,3
0,2,0,0,1,"Meal Plan 1",0,"Room_Type 1",443,2018,4,Online,0
1,2,0,2,3,"Meal Plan 1",0,"Room_Type 1",2,2017,11,Online,1
1,2,0,0,3,"Meal Plan 1",0,"Room_Type 1",317,2018,9,Online,1
0,2,0,0,2,"Meal Plan 2",0,"Room_Type 1",286,2018,9,Offline,0
0,2,0,1,3,"Meal Plan 1",0,"Room_Type 1",68,2018,3,Online,0
1,2,0,0,3,"Meal Plan 1",0,"Room_Type 1",148,2018,5,Online,0
2,3,0,2,0,"Meal Plan 1",0,"Room_Type 4",68,2018,4,Online,2
1,2,0,0,2,"Meal Plan 1",0,"Room_Type 1",30,2018,3,Offline,0
1,1,0,0,1,"Meal Plan 1",0,"Room_Type 1",14,2018,11,Online,1
2,2,2,0,2,"Meal Plan 1",0,"Room_Type 6",110,2018,10,Online,0
1,1,0,2,3,"Meal Plan 1",0,"Room_Type 1",117,2018,6,Offline,0
1,2,0,1,4,"Meal Plan 1",0,"Room_Type 4",85,2018,7,Online,1
2,2,0,0,2,"Not Selected",0,"Room_Type 1",1,2018,10,Online,2
2,1,0,1,2,"Meal Plan 1",0,"Room_Type 1",25,2018,10,Online,2
0,2,0,2,4,"Not Selected",0,"Room_Type 1",289,2018,12,Online,2
0,2,0,1,4,"Meal Plan 1",0,"Room_Type 4",28,2017,10,Offline,0
0,1,0,0,4,"Not Selected",0,"Room_Type 1",80,2018,3,Online,0
2,2,0,0,1,"Meal Plan 1",0,"Room_Type 4",11,2017,10,Online,2
2,2,1,1,0,"Meal Plan 1",0,"Room_Type 1",162,2018,7,Online,2
1,2,0,2,5,"Meal Plan 1",0,"Room_Type 1",155,2018,6,Online,2
1,1,0,2,2,"Meal Plan 1",0,"Room_Type 1",82,2018,5,Online,0
2,3,0,2,4,"Meal Plan 1",0,"Room_Type 4",27,2018,4,Online,0
1,1,0,1,2,"Meal Plan 1",0,"Room_Type 1",13,2018,5,Offline,0
0,2,0,0,2,"Meal Plan 1",0,"Room_Type 1",245,2018,6,Online,0
1,2,0,0,2,"Meal Plan 1",0,"Room_Type 1",11,2018,11,Online,1
1,2,0,2,2,"Meal Plan 1",0,"Room_Type 1",266,2018,10,Online,2
2,2,0,1,0,"Meal Plan 1",0,"Room_Type 1",39,2018,3,Online,1
0,1,0,0,2,"Meal Plan 1",0,"Room_Type 1",13,2018,6,Complementary,1
1,2,0,0,4,"Not Selected",0,"Room_Type 1",112,2018,5,Online,1
0,2,0,1,2,"Not Selected",0,"Room_Type 1",88,2018,4,Online,1
2,2,0,0,1,"Meal Plan 1",0,"Room_Type 1",56,2018,6,Offline,0
1,2,0,2,3,"Meal Plan 1",0,"Room_Type 4",73,2018,4,Online,0
2,2,0,1,1,"Meal Plan 1",0,"Room_Type 1",80,2018,5,Online,1
2,2,0,0,3,"Meal Plan 1",0,"Room_Type 4",130,2018,9,Online,2
0,2,0,1,3,"Not Selected",0,"Room_Type 1",69,2018,4,Online,1
1,2,0,0,2,"Meal Plan 2",0,"Room_Type 1",273,2017,7,Online,0
1,2,0,0,1,"Meal Plan 2",0,"Room_Type 1",55,2018,4,Offline,0
0,1,0,0,3,"Meal Plan 1",0,"Room_Type 1",4,2018,11,Corporate,1
2,2,0,0,3,"Meal Plan 1",0,"Room_Type 4",97,2018,5,Online,0
0,2,0,0,3,"Meal Plan 1",0,"Room_Type 1",44,2018,2,Offline,0
1,2,0,0,1,"Not Selected",0,"Room_Type 1",31,2018,4,Online,0
1,2,0,1,0,"Not Selected",0,"Room_Type 1",0,2018,6,Online,0
1,2,0,2,2,"Meal Plan 1",0,"Room_Type 1",62,2018,11,Online,2
1,2,0,2,2,"Meal Plan 1",0,"Room_Type 4",86,2018,4,Online,1
2,3,0,2,2,"Meal Plan 1",0,"Room_Type 7",3,2018,10,Online,1
1,2,0,1,1,"Not Selected",0,"Room_Type 1",197,2018,8,Online,1
1,2,0,0,2,"Meal Plan 1",0,"Room_Type 1",143,2018,7,Online,2
0,1,0,2,1,"Meal Plan 2",0,"Room_Type 1",23,2018,1,Online,0
2,2,0,0,2,"Meal Plan 1",0,"Room_Type 4",8,2018,6,Online,0
0,1,0,0,2,"Meal Plan 1",0,"Room_Type 1",13,2018,11,Online,1
1,2,0,1,2,"Meal Plan 1",0,"Room_Type 1",280,2018,9,Online,0
1,2,1,1,0,"Not Selected",0,"Room_Type 1",11,2017,9,Online,1
2,2,0,0,2,"Meal Plan 1",0,"Room_Type 1",317,2018,9,Online,0
0,2,0,1,2,"Not Selected",0,"Room_Type 1",185,2018,12,Online,0
1,2,0,1,3,"Meal Plan 1",0,"Room_Type 1",160,2018,6,Online,1
1,2,0,0,4,"Meal Plan 1",0,"Room_Type 1",104,2018,10,Online,1
2,2,1,0,1,"Meal Plan 1",0,"Room_Type 1",11,2018,11,Online,1
1,2,0,0,1,"Not Selected",0,"Room_Type 1",2,2018,3,Online,0
1,2,0,1,4,"Not Selected",0,"Room_Type 1",14,2018,8,Online,1
2,2,0,0,2,"Meal Plan 1",0,"Room_Type 1",22,2018,5,Offline,0
1,1,1,2,5,"Not Selected",0,"Room_Type 1",37,2017,10,Online,0
2,2,0,0,2,"Meal Plan 2",0,"Room_Type 1",292,2018,7,Online,0
0,2,0,0,3,"Meal Plan 1",0,"Room_Type 1",11,2017,9,Online,1
0,2,0,1,3,"Meal Plan 1",0,"Room_Type 1",86,2018,3,Online,1
1,2,0,0,1,"Not Selected",0,"Room_Type 1",109,2018,10,Online,0
1,2,0,1,1,"Meal Plan 1",0,"Room_Type 4",72,2018,4,Online,1
1,2,0,1,5,"Meal Plan 1",0,"Room_Type 1",196,2018,8,Online,0
2,2,0,0,2,"Meal Plan 1",0,"Room_Type 4",56,2018,5,Online,1
0,2,0,1,3,"Meal Plan 1",0,"Room_Type 1",189,2018,8,Offline,0
2,2,0,1,4,"Meal Plan 1",0,"Room_Type 4",126,2018,8,Online,0
0,2,0,2,3,"Meal Plan 1",0,"Room_Type 1",303,2018,8,Online,0
2,1,0,2,2,"Meal Plan 1",0,"Room_Type 4",81,2018,11,Online,1
2,2,0,1,2,"Meal Plan 1",0,"Room_Type 1",54,2018,10,Online,0
2,1,0,0,1,"Meal Plan 1",0,"Room_Type 1",15,2018,10,Online,0
0,2,0,0,4,"Meal Plan 1",0,"Room_Type 1",86,2018,4,Online,0
2,2,0,1,2,"Meal Plan 2",0,"Room_Type 1",161,2018,3,Online,0
2,2,0,4,10,"Meal Plan 1",0,"Room_Type 4",147,2018,8,Online,1
1,2,0,1,2,"Meal Plan 1",0,"Room_Type 1",92,2018,5,Offline,0
1,2,0,0,1,"Meal Plan 1",0,"Room_Type 1",87,2017,9,Corporate,0
0,2,0,2,1,"Meal Plan 1",0,"Room_Type 1",109,2018,3,Offline,0
0,2,0,0,4,"Meal Plan 1",0,"Room_Type 1",127,2018,3,Offline,2
1,2,0,1,2,"Meal Plan 2",0,"Room_Type 1",418,2018,9,Online,0
1,2,0,1,4,"Not Selected",0,"Room_Type 1",156,2018,8,Online,1
0,2,0,0,2,"Meal Plan 1",0,"Room_Type 1",80,2017,7,Online,1
0,2,0,2,2,"Not Selected",0,"Room_Type 1",211,2018,12,Online,0
1,2,0,1,2,"Meal Plan 1",0,"Room_Type 1",273,2018,5,Online,0
0,2,0,2,1,"Meal Plan 1",0,"Room_Type 1",58,2018,11,Offline,1
0,2,0,0,3,"Meal Plan 1",0,"Room_Type 1",433,2018,9,Online,0
1,2,0,1,3,"Meal Plan 1",0,"Room_Type 1",111,2018,5,Online,1
0,2,0,2,3,"Meal Plan 1",0,"Room_Type 1",34,2018,8,Offline,0
1,2,0,2,4,"Meal Plan 1",0,"Room_Type 1",17,2018,12,Online,0
0,1,0,0,0,"Meal Plan 1",0,"Room_Type 1",4,2018,2,Complementary,1
1,2,0,0,3,"Meal Plan 1",0,"Room_Type 1",6,2017,9,Online,1
1,2,0,1,1,"Meal Plan 1",0,"Room_Type 1",32,2018,7,Offline,1
2,2,0,0,1,"Meal Plan 1",0,"Room_Type 1",4,2017,9,Online,2
1,3,0,2,1,"Meal Plan 1",0,"Room_Type 1",195,2018,8,Online,1
1,2,0,2,2,"Meal Plan 1",0,"Room_Type 1",119,2018,8,Online,1
1,1,0,1,1,"Not Selected",0,"Room_Type 1",13,2018,12,Online,0
1,2,0,0,2,"Meal Plan 1",0,"Room_Type 1",59,2017,10,Online,2
1,2,1,2,5,"Meal Plan 1",0,"Room_Type 4",78,2018,3,Online,1
1,2,0,0,3,"Meal Plan 1",0,"Room_Type 1",335,2018,10,Offline,1
0,2,0,2,5,"Meal Plan 1",0,"Room_Type 1",103,2017,8,Online,0
1,1,0,0,2,"Not Selected",0,"Room_Type 1",0,2018,6,Online,1
1,2,0,0,1,"Meal Plan 1",0,"Room_Type 1",118,2018,3,Offline,0
2,2,0,1,5,"Meal Plan 1",0,"Room_Type 1",56,2018,9,Online,0
2,2,0,0,2,"Meal Plan 1",0,"Room_Type 1",107,2018,6,Offline,1
1,2,0,1,3,"Not Selected",0,"Room_Type 1",70,2018,4,Online,1
1,2,0,0,2,"Meal Plan 1",0,"Room_Type 1",76,2018,4,Online,1
2,2,2,2,2,"Meal Plan 1",0,"Room_Type 6",144,2018,5,Online,1
2,1,2,2,2,"Meal Plan 1",0,"Room_Type 6",4,2017,9,Online,2
2,2,1,0,2,"Meal Plan 1",0,"Room_Type 1",15,2018,3,Online,1
0,1,0,1,2,"Meal Plan 1",0,"Room_Type 1",32,2018,2,Online,0
2,3,0,1,1,"Meal Plan 1",0,"Room_Type 4",49,2018,5,Online,0
2,2,1,1,3,"Meal Plan 1",0,"Room_Type 1",77,2018,5,Online,1
1,1,0,0,2,"Meal Plan 1",0,"Room_Type 1",22,2018,10,Offline,0
1,2,0,1,0,"Not Selected",0,"Room_Type 1",0,2017,10,Online,0
2,2,1,0,1,"Meal Plan 1",1,"Room_Type 1",58,2018,6,Online,1
1,2,0,2,6,"Not Selected",0,"Room_Type 1",4,2017,8,Online,1
1,2,0,0,2,"Meal Plan 1",0,"Room_Type 5",117,2018,4,Online,0
1,2,0,1,3,"Meal Plan 1",0,"Room_Type 1",36,2018,12,Online,0
0,2,0,2,2,"Not Selected",0,"Room_Type 1",35,2018,12,Online,2
1,2,0,1,0,"Not Selected",0,"Room_Type 1",31,2018,4,Online,0
2,2,0,2,4,"Not Selected",0,"Room_Type 1",79,2018,6,Online,0
2,2,0,1,2,"Meal Plan 1",0,"Room_Type 1",1,2017,10,Online,0
1,2,0,0,2,"Meal Plan 1",0,"Room_Type 1",21,2017,9,Online,0
1,2,0,0,2,"Not Selected",0,"Room_Type 1",12,2018,9,Corporate,1
0,2,0,1,0,"Meal Plan 1",0,"Room_Type 1",33,2018,2,Online,1
1,1,0,0,2,"Meal Plan 1",0,"Room_Type 1",164,2017,10,Offline,0
1,2,0,0,3,"Meal Plan 1",1,"Room_Type 1",78,2018,3,Online,1
1,2,0,0,4,"Meal Plan 1",0,"Room_Type 4",18,2018,5,Online,0
2,2,0,1,2,"Meal Plan 1",0,"Room_Type 1",21,2018,8,Online,0
1,1,0,1,3,"Meal Plan 1",0,"Room_Type 1",0,2017,11,Online,1
2,3,0,2,1,"Meal Plan 1",0,"Room_Type 4",152,2018,8,Online,1
0,2,0,2,3,"Meal Plan 1",0,"Room_Type 1",43,2017,10,Offline,0
0,2,0,0,4,"Not Selected",0,"Room_Type 1",177,2018,7,Online,1
0,2,0,1,1,"Not Selected",0,"Room_Type 1",47,2018,5,Offline,0
2,3,0,0,3,"Meal Plan 1",0,"Room_Type 4",57,2018,9,Online,0
0,2,0,2,4,"Not Selected",0,"Room_Type 1",60,2017,11,Online,1
2,2,0,0,1,"Meal Plan 1",0,"Room_Type 1",0,2017,9,Online,0
1,2,0,0,2,"Meal Plan 2",0,"Room_Type 1",102,2017,10,Online,0
1,2,0,0,3,"Not Selected",0,"Room_Type 1",71,2018,10,Online,1
2,3,0,2,3,"Meal Plan 2",0,"Room_Type 4",111,2018,7,Online,1
2,3,0,1,1,"Meal Plan 1",0,"Room_Type 4",1,2018,6,Online,3
0,2,0,1,1,"Not Selected",0,"Room_Type 1",4,2018,1,Online,0
0,2,0,1,3,"Meal Plan 1",0,"Room_Type 4",25,2017,9,Online,1
2,1,0,2,2,"Meal Plan 1",0,"Room_Type 1",209,2018,11,Online,1
2,1,0,2,1,"Meal Plan 1",0,"Room_Type 1",93,2018,10,Online,0
0,2,0,2,5,"Not Selected",0,"Room_Type 1",53,2017,9,Online,2
0,1,0,0,2,"Meal Plan 1",0,"Room_Type 1",1,2017,8,Complementary,1
0,1,0,2,1,"Meal Plan 1",0,"Room_Type 1",4,2017,8,Complementary,1
1,2,0,0,3,"Meal Plan 1",0,"Room_Type 1",302,2018,12,Online,2
0,2,0,0,2,"Meal Plan 1",0,"Room_Type 1",122,2018,4,Offline,0
0,1,0,0,1,"Meal Plan 1",0,"Room_Type 1",16,2018,3,Corporate,0
2,2,0,2,4,"Meal Plan 1",0,"Room_Type 1",28,2018,8,Online,1
2,2,0,1,2,"Meal Plan 2",0,"Room_Type 1",161,2018,3,Online,0
2,3,0,0,2,"Meal Plan 1",0,"Room_Type 4",57,2018,12,Online,2
1,2,0,1,0,"Meal Plan 1",0,"Room_Type 1",19,2018,6,Online,1
2,3,0,2,4,"Meal Plan 1",0,"Room_Type 4",109,2018,7,Online,4
1,1,0,0,2,"Meal Plan 2",0,"Room_Type 1",239,2018,6,Online,0
0,1,0,2,1,"Meal Plan 1",0,"Room_Type 1",33,2018,3,Online,2
1,2,0,0,3,"Meal Plan 1",0,"Room_Type 1",11,2017,8,Online,1
2,3,0,2,5,"Meal Plan 1",0,"Room_Type 4",40,2018,4,Online,1
2,3,0,1,1,"Meal Plan 1",0,"Room_Type 4",45,2018,6,Offline,0
2,2,0,1,3,"Not Selected",0,"Room_Type 1",41,2018,5,Online,0
0,2,0,0,4,"Not Selected",0,"Room_Type 1",167,2018,6,Online,0
0,2,0,0,4,"Not Selected",0,"Room_Type 1",62,2018,3,Online,0
2,1,0,1,4,"Meal Plan 1",0,"Room_Type 1",113,2018,9,Online,0
2,2,0,0,2,"Not Selected",1,"Room_Type 1",1,2018,8,Online,0
2,2,2,2,2,"Meal Plan 1",0,"Room_Type 6",84,2018,5,Online,1
1,0,2,2,2,"Meal Plan 1",0,"Room_Type 1",68,2018,4,Online,1
0,2,0,0,1,"Meal Plan 1",0,"Room_Type 2",9,2018,9,Complementary,1
2,3,0,1,2,"Meal Plan 1",0,"Room_Type 1",245,2018,10,Online,0
0,2,0,1,3,"Meal Plan 1",0,"Room_Type 1",80,2018,3,Online,1
2,2,0,1,1,"Meal Plan 1",0,"Room_Type 1",7,2018,8,Online,1
0,2,1,1,1,"Meal Plan 1",0,"Room_Type 1",128,2017,8,Online,2
1,2,0,2,1,"Meal Plan 1",0,"Room_Type 1",100,2018,5,Online,1
1,2,0,2,1,"Meal Plan 1",0,"Room_Type 1",118,2018,4,Online,1
1,1,0,0,3,"Meal Plan 1",0,"Room_Type 1",166,2018,11,Online,0
0,1,0,0,1,"Meal Plan 2",0,"Room_Type 1",41,2017,9,Offline,0
1,2,0,2,2,"Meal Plan 1",0,"Room_Type 1",174,2018,8,Online,1
1,2,1,2,1,"Meal Plan 2",0,"Room_Type 1",27,2017,12,Offline,3
1,2,0,2,6,"Meal Plan 1",0,"Room_Type 1",2,2018,11,Online,2
1,1,0,0,3,"Meal Plan 1",0,"Room_Type 1",37,2018,10,Offline,0
2,1,0,0,2,"Meal Plan 1",0,"Room_Type 1",188,2018,6,Online,0
0,2,0,2,1,"Meal Plan 1",0,"Room_Type 1",68,2018,1,Offline,1
1,2,0,1,2,"Meal Plan 1",0,"Room_Type 4",189,2018,10,Online,0
1,2,0,1,0,"Meal Plan 1",0,"Room_Type 1",10,2018,5,Online,0
2,3,0,2,1,"Meal Plan 1",0,"Room_Type 4",19,2018,2,Online,1
2,2,0,0,2,"Meal Plan 1",0,"Room_Type 1",61,2018,3,Online,0
0,2,0,0,4,"Meal Plan 1",0,"Room_Type 4",95,2017,12,Offline,0
1,2,0,0,1,"Meal Plan 2",0,"Room_Type 1",83,2017,9,Offline,0
2,2,0,1,3,"Meal Plan 1",0,"Room_Type 1",37,2018,8,Online,0
2,2,0,1,0,"Meal Plan 1",0,"Room_Type 1",19,2018,7,Online,1
2,2,2,0,2,"Meal Plan 1",0,"Room_Type 6",22,2018,9,Online,2
0,2,0,2,1,"Meal Plan 1",0,"Room_Type 1",22,2017,12,Online,0
1,2,0,2,5,"Meal Plan 1",0,"Room_Type 1",151,2018,7,Online,0
1,2,0,2,1,"Meal Plan 1",0,"Room_Type 1",26,2018,2,Offline,0
2,3,0,1,0,"Meal Plan 1",0,"Room_Type 4",27,2018,4,Online,0
1,2,0,0,2,"Meal Plan 2",0,"Room_Type 1",79,2018,6,Offline,0
2,2,0,1,1,"Meal Plan 2",0,"Room_Type 1",247,2018,6,Online,1
1,2,0,2,3,"Meal Plan 1",0,"Room_Type 4",189,2018,7,Online,1
2,2,0,0,2,"Meal Plan 2",0,"Room_Type 1",320,2018,8,Online,1
2,3,0,1,2,"Meal Plan 1",0,"Room_Type 4",27,2018,2,Online,2
0,1,0,1,0,"Meal Plan 1",0,"Room_Type 1",51,2018,5,Corporate,0
